"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"444",15,"Dylan Laube",LV,"RB126","13","-","-","2 out of 5 stars","-"
"445",15,"Mo Alie-Cox",IND,"TE66","13","-","-","3 out of 5 stars","+48"
"446",15,"Marquez Valdes-Scantling",DAL,"WR148","14","-","-","2 out of 5 stars","+24"
"447",15,"Tyler Goodson",ATL,"RB127","11","-","-","2 out of 5 stars","-"
"448",15,"Tyler Lockett",LV,"WR149","13","-","-","2 out of 5 stars","-"
"449",15,"Demarcus Robinson",SF,"WR150","8","-","-","2 out of 5 stars","+99"
"450",15,"Roman Hemby",LV,"RB128","13","1 out of 5","5 out of 5","2 out of 5 stars","-"
"451",15,"Josh Oliver",MIN,"TE67","6","-","-","4 out of 5 stars","-75"
"452",15,"Jake Bobo",SEA,"WR151","11","-","-","3 out of 5 stars","-84"
"453",15,"Jakobie Keeney-James",PIT,"WR152","9","-","-","3 out of 5 stars","-4"
"454",15,"Jahdae Walker",CHI,"WR153","10","-","-","3 out of 5 stars","-89"
"455",15,"Kevin Austin Jr.",NO,"WR154","8","-","-","3 out of 5 stars","-"
"456",15,"Jacob Saylors",DET,"RB129","6","-","-","5 out of 5 stars","+32"
"457",15,"Miles Sanders",FA,"RB130","-","-","-","-","-"
"458",15,"Tim Patrick",NYJ,"WR155","13","-","-","4 out of 5 stars","-"
"459",15,"Khalil Herbert",SF,"RB131","8","-","-","2 out of 5 stars","-"
"460",15,"New York Jets",NYJ,"DST30","13","-","-","4 out of 5 stars","-150"
"461",15,"Myles Montgomery",NE,"RB132","11","-","-","2 out of 5 stars","-"
"462",15,"Las Vegas Raiders",LV,"DST31","13","-","-","4 out of 5 stars","-184"
"463",15,"CJ Daniels",LAR,"WR156","11","2 out of 5","4 out of 5","1 out of 5 stars","-26"
"464",15,"Elijah Tau-Tolliver",BAL,"RB133","13","-","-","3 out of 5 stars","-"
"465",15,"Luke Schoonmaker",DAL,"TE68","14","-","-","2 out of 5 stars","-114"
"466",15,"Damien Martinez",GB,"RB134","11","-","-","4 out of 5 stars","-"
"467",15,"Colbie Young",CIN,"WR157","6","2 out of 5","4 out of 5","4 out of 5 stars","-61"
"468",15,"Jordan Waters",LAR,"RB135","11","-","-","5 out of 5 stars","-"
"469",15,"Donovan Edwards",MIA,"RB136","6","-","-","3 out of 5 stars","-"
"470",15,"Elijah Mitchell",PHI,"RB137","10","-","-","4 out of 5 stars","-"
"471",15,"Xavier Smith",LAR,"WR158","11","-","-","1 out of 5 stars","-90"
"472",15,"Adam Trautman",DEN,"TE69","10","-","-","4 out of 5 stars","-41"
"473",15,"Frank Gore Jr.",BUF,"RB138","7","-","-","2 out of 5 stars","-30"
"474",15,"Roman Wilson",PIT,"WR159","9","-","-","3 out of 5 stars","-83"
